"","PRUID","PRNAME","CMAUID","CMAPUID","CMANAME","CSDUID","CSDNAME","DTUID","DTNAME","DTTYPE"
"1","59","British Columbia / Colombie-Britannique","932","59932","Abbotsford - Mission","5909052","Abbotsford","932090521","Abbotsford","Primary"
"2","35","Ontario","568","35568","Barrie","3543042","Barrie","568430421","Barrie","Primary"
"3","35","Ontario","522","35522","Belleville","3512005","Belleville","522120051","Belleville","Primary"
"4","35","Ontario","543","35543","Brantford","3529006","Brantford","543290061","Brantford","Primary"
"5","48","Alberta","825","48825","Calgary","4806016","Calgary","825060161","Calgary","Primary"
"6","59","British Columbia / Colombie-Britannique","930","59930","Chilliwack","5909020","Chilliwack","930090201","Chilliwack","Primary"
"7","48","Alberta","835","48835","Edmonton","4811061","Edmonton","835110611","Edmonton","Primary"
"8","13","New Brunswick / Nouveau-Brunswick","320","13320","Fredericton","1310032","Fredericton","320100321","Fredericton","Primary"
"9","35","Ontario","580","35580","Greater Sudbury / Grand Sudbury","3553005","Greater Sudbury / Grand Sudbury","580530051","Greater Sudbury / Grand Sudbury","Primary"
"10","35","Ontario","550","35550","Guelph","3523008","Guelph","550230081","Guelph","Primary"
"11","12","Nova Scotia / Nouvelle-Écosse","205","12205","Halifax","1209034","Halifax","205090341","Halifax","Primary"
"12","35","Ontario","537","35537","Hamilton","3525005","Hamilton","537250051","Hamilton","Primary"
"13","59","British Columbia / Colombie-Britannique","925","59925","Kamloops","5933042","Kamloops","925330421","Kamloops","Primary"
"14","59","British Columbia / Colombie-Britannique","915","59915","Kelowna","5935010","Kelowna","915350101","Kelowna","Primary"
"15","35","Ontario","521","35521","Kingston","3510010","Kingston","521100101","Kingston","Primary"
"16","35","Ontario","541","35541","Kitchener - Cambridge - Waterloo","3530013","Kitchener","541300131","Kitchener","Primary"
"17","48","Alberta","810","48810","Lethbridge","4802012","Lethbridge","810020121","Lethbridge","Primary"
"18","35","Ontario","555","35555","London","3539036","London","555390361","London","Primary"
"19","13","New Brunswick / Nouveau-Brunswick","305","13305","Moncton","1307022","Moncton","305070221","Moncton","Primary"
"20","24","Quebec / Québec","462","24462","Montréal","2466023","Montréal","462660231","Montréal","Primary"
"21","59","British Columbia / Colombie-Britannique","938","59938","Nanaimo","5921007","Nanaimo","938210071","Nanaimo","Primary"
"22","35","Ontario","532","35532","Oshawa","3518013","Oshawa","532180131","Oshawa","Primary"
"23","35","Ontario","505","35505","Ottawa - Gatineau (Ontario part / partie de l'Ontario)","3506008","Ottawa","505060081","Ottawa","Primary"
"24","24","Quebec / Québec","505","24505","Ottawa - Gatineau (partie du Québec / Quebec part)","2481017","Gatineau","505810171","Gatineau","Primary"
"25","35","Ontario","529","35529","Peterborough","3515014","Peterborough","529150141","Peterborough","Primary"
"26","24","Quebec / Québec","421","24421","Québec","2423027","Québec","421230271","Québec","Primary"
"27","48","Alberta","830","48830","Red Deer","4808011","Red Deer","830080111","Red Deer","Primary"
"28","47","Saskatchewan","705","47705","Regina","4706027","Regina","705060271","Regina","Primary"
"29","24","Quebec / Québec","408","24408","Saguenay","2494068","Saguenay","408940681","Saguenay","Primary"
"30","13","New Brunswick / Nouveau-Brunswick","310","13310","Saint John","1301006","Saint John","310010061","Saint John","Primary"
"31","47","Saskatchewan","725","47725","Saskatoon","4711066","Saskatoon","725110661","Saskatoon","Primary"
"32","24","Quebec / Québec","433","24433","Sherbrooke","2443027","Sherbrooke","433430271","Sherbrooke","Primary"
"33","35","Ontario","539","35539","St. Catharines - Niagara","3526053","St. Catharines","539260531","St. Catharines","Primary"
"34","10","Newfoundland and Labrador / Terre-Neuve-et-Labrador","001","10001","St. John's","1001519","St. John's","001015191","St. John's","Primary"
"35","35","Ontario","595","35595","Thunder Bay","3558004","Thunder Bay","595580041","Thunder Bay","Primary"
"36","35","Ontario","535","35535","Toronto","3520005","Toronto","535200051","Toronto","Primary"
"37","24","Quebec / Québec","442","24442","Trois-Rivières","2437067","Trois-Rivières","442370671","Trois-Rivières","Primary"
"38","59","British Columbia / Colombie-Britannique","933","59933","Vancouver","5915022","Vancouver","933150221","Vancouver","Primary"
"39","59","British Columbia / Colombie-Britannique","935","59935","Victoria","5917034","Victoria","935170341","Victoria","Primary"
"40","35","Ontario","559","35559","Windsor","3537039","Windsor","559370391","Windsor","Primary"
"41","46","Manitoba","602","46602","Winnipeg","4611040","Winnipeg","602110401","Winnipeg","Primary"
